Semester,Academic Year,Location,Course Number (Section),Course Name,Course Description,Department,School,Credits,Status
Intersession 2021,,['Homewood Campus'],01,Independent Study - Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,0.00 - 3.00,
Intersession 2021,,['Homewood Campus'],02,Independent Study - Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,0.00 - 3.00,
Intersession 2021,,['Homewood Campus'],01,Internship-Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Intersession 2021,,['Homewood Campus'],02,Internship-Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Intersession 2021,,['Online'],33,B'More: Nutrition and Community,"Eating is more than just grabbing a meal; it’s a fundamental part of our social fabric. In fact, 3 times a day / 7 days a week we have the opportunity to build social connections, explore new tastes through culinary adventures, and support the local farming economy by eating local - all while consuming good nutrition for our optimal mental and physical performance.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2021,,['Online'],12,Clinical Nutrition,"Are you ready for 21st-century healthcare? The etiology of disease is often linked to nutrient deficiencies. We'll cover Digestive System Anatomy, Carbohydrates, Dietary Fiber, Lipids, Protein, Water, Vitamins, Minerals, Nutrient Tracking, and a simulated patient exam.
We'll also conduct in-class (virtual) cooking demonstrations to experiment with tasty ways to prepare vegetables. Daily assignments will include keeping personalized food logs to track calories, micronutrients, fiber, and protein intake using Cronometer software.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2021,,['Online'],12,Genetics in Self-Identity & Policy,"This course will explore the social and ethical influence of genetics in the format of a guided discussion-based seminar. Students will have the opportunity to think deeply about diverse contemporary issues rooted in genetics research. Additionally, students will explore the impact of genetics on self-identity, public perceptions, and policies through discussions of topics such as race, disabilities, and employee rights.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,2.00,
Intersession 2021,,['Online'],12,From Hopkins to Health:  Finding Your Fit in the Health Ecosystem,"As we’ve seen this past year, ‘health’ is an all-encompassing term that stretches into many areas of the lives of individuals in communities, nations and global populations. Figuring out where one fits in the health ecosystem requires both self-reflection and exploration to understand how knowledge and roles intersect and connect to serve health needs. This course will use the processes and mindsets of Life Design to help students explore careers in the fields of medicine, allied health, public health, and healthcare.
Through the use of virtual treks, alumni visits, and experimental learning exercises and self-reflection, students will prototype possible careers and find their fit within the health ecosystem.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2021,,['Online'],12,"Finding Your ""Why"" in Medicine","Often pre-med students are so focused on the “how” of getting into medical school that they don’t take the time to reflect upon “why” they want to become a doctor in the first place. With so many required courses, necessary clinical and research experiences, and expected leadership and extracurricular involvement, taking the time to understand one’s values and motivations is a challenge. This course will use the methods of Life Design to help students empathize with their own experiences, connect to alumni working in medicine to better understand the broader field, and articulate their own answer to “why medicine?” so that they are not only a stronger medical school applicant, but also a more self-aware and effective future physician.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2021,,['Homewood Campus'],01,Mentored Research,,['AS Biology'],Krieger School of Arts and Sciences,2.00,
Intersession 2021,,['Homewood Campus'],01,Independent Study,,['AS Biology'],Krieger School of Arts and Sciences,2.00,
Intersession 2021,,['Homewood Campus'],02,Independent Study,,['AS Biology'],Krieger School of Arts and Sciences,2.00,
Intersession 2021,,['Homewood Campus'],02,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,0.00 - 3.00,
