Semester,Academic Year,Location,Course Number (Section),Course Name,Course Description,Department,School,Credits,Status
Summer 2025,,['Homewood Campus'],21,Decoding College Writing,"This course examines three broad types of writing students will encounter at and beyond
Hopkins: narrative writing, analytical writing, and technical writing. Each has its own
implications within the walls of JHU, from research papers to creative projects, but each will
extend to the opportunities students pursue outside of academia. Above all, this course
demystifies the idea that some writers just “have it” by decoding the processes that lead to
great writing and building students’ confidence in written expression to carry forward into their
studies and professional pursuits. Offered in summers only.","['AS Summer and Intersession Programs', 'AS Writing Program']",Krieger School of Arts and Sciences,3.00,Approval Required
Summer 2025,,['Homewood Campus'],22,Decoding College Writing,"This course examines three broad types of writing students will encounter at and beyond
Hopkins: narrative writing, analytical writing, and technical writing. Each has its own
implications within the walls of JHU, from research papers to creative projects, but each will
extend to the opportunities students pursue outside of academia. Above all, this course
demystifies the idea that some writers just “have it” by decoding the processes that lead to
great writing and building students’ confidence in written expression to carry forward into their
studies and professional pursuits. Offered in summers only.","['AS Summer and Intersession Programs', 'AS Writing Program']",Krieger School of Arts and Sciences,3.00,Approval Required
Summer 2025,,['Homewood Campus'],01,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,Open
Summer 2025,,['Homewood Campus'],02,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,Open
Summer 2025,,['Homewood Campus'],03,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,Open
Summer 2025,,['Homewood Campus'],04,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,Open
Summer 2025,,['Homewood Campus'],05,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,Open
Summer 2025,,['Homewood Campus'],06,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,Open
Summer 2025,,['Homewood Campus'],07,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,Open
Summer 2025,,['Homewood Campus'],08,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,Open
Summer 2025,,['Homewood Campus'],09,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,Open
Summer 2025,,['Homewood Campus'],10,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,Open
