Semester,Academic Year,Location,Course Number (Section),Course Name,Course Description,Department,School,Credits,Status
Summer 2019,,['No Location'],01,Internship-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Summer 2019,,['Homewood Campus'],02,Internship-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Summer 2019,,['No Location'],03,Internship-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Summer 2019,,['Homewood Campus'],04,Internship-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Summer 2019,,['No Location'],05,Internship-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Summer 2019,,['No Location'],06,Internship-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Summer 2019,,['No Location'],01,Independent Study-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,3.00,
Summer 2019,,['No Location'],02,Independent Study-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,3.00,
Summer 2019,,['No Location'],03,Independent Study-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,3.00,
Summer 2019,,['No Location'],04,Independent Study-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,3.00,
Summer 2019,,['Homewood Campus'],07,Individual Work,,['AS History of Art'],Krieger School of Arts and Sciences,0.00,
Summer 2019,,['No Location'],01,Summer Practicum-History of Art,,['AS History of Art'],Krieger School of Arts and Sciences,0.00 - 3.00,
Summer 2019,,['Homewood Campus'],41,Discover Hopkins: Introduction to Laboratory Research,"This course will introduce students to a variety of biochemical and molecular biological laboratory techniques. These will include DNA analysis by restriction enzyme mapping, amplification of DNA segments by PCR, lipid analysis by chromatography. Additionally, students will visit a variety of biological laboratories to observe actual research projects. * Prerequisites: High school biology and chemistry.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2019,,['Homewood Campus'],51,Discover Hopkins: Introduction to Laboratory Research,"This course will introduce students to a variety of biochemical and molecular biological laboratory techniques. These will include DNA analysis by restriction enzyme mapping, amplification of DNA segments by PCR, lipid analysis by chromatography. Additionally, students will visit a variety of biological laboratories to observe actual research projects. * Prerequisites: High school biology and chemistry.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2019,,['Homewood Campus'],61,Discover Hopkins: Introduction to Laboratory Research,"This course will introduce students to a variety of biochemical and molecular biological laboratory techniques. These will include DNA analysis by restriction enzyme mapping, amplification of DNA segments by PCR, lipid analysis by chromatography. Additionally, students will visit a variety of biological laboratories to observe actual research projects. * Prerequisites: High school biology and chemistry.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2019,,['Homewood Campus'],73,Mini-Term: Techniques in Molecular Biology,"This course is designed to supplement the scientific classroom experience of students by providing hands on experience with the essential core molecular biology techniques of bacterial DNA cloning, DNA analysis, and protein analysis. Students will be able to understand and explain how these methodologies work scientifically and will develop the basic laboratory skills necessary for the successful completion of the assays.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2019,,['Homewood Campus'],21,Introduction to Biological Molecules,"This course presents an overview to biochemistry and molecular biology, especially focusing on biotechnology and medicine. Students will have classroom and laboratory experience and group presentations. Prerequisite: High school level Chemistry and Biology (both with a grade of A).","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,3.00,
Summer 2019,,['Homewood Campus'],22,Introduction to Biological Molecules,"This course presents an overview to biochemistry and molecular biology, especially focusing on biotechnology and medicine. Students will have classroom and laboratory experience and group presentations. Prerequisite: High school level Chemistry and Biology (both with a grade of A).","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,3.00,
