Semester,Academic Year,Location,Course Number (Section),Course Name,Course Description,Department,School,Credits,Status
Intersession 2020,,['Homewood Campus'],30,Program Abroad: Renaissance Art in Florence,Intersession Abroad Program.  The course examines Renaissance art in Italy from the 13th through 16th centuries.,"['AS History of Art', 'AS Study of Women, Gender, & Sexuality']",Krieger School of Arts and Sciences,3.00,
Intersession 2020,,['Homewood Campus'],01,Honors Thesis,,['AS History of Art'],Krieger School of Arts and Sciences,0.00 - 3.00,
Intersession 2020,,['Homewood Campus'],01,Independent Study - Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,0.00 - 3.00,
Intersession 2020,,['Homewood Campus'],02,Independent Study - Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,0.00 - 3.00,
Intersession 2020,,['Homewood Campus'],01,Internship-Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Intersession 2020,,['Homewood Campus'],02,Internship-Intersession,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Intersession 2020,,['Homewood Campus'],12,Making your own Plant based Burger,"Artificial meat, particularly plant-based meat substitutes, are rapidly gaining in popularity. Creating these products involves an extensive use of basic biochemistry. In this course we will review the basic biochemistry that underlies plant-based meat production and also the biochemistry at play when actual meat is cook and prepared for consumption. We will attend a cooking class to learn from a working chef how meat is prepared and what happens to meat as it is cooked. We will then take all of this knowledge into a kitchen and work to prepare our own version of artificial beef. WARNING: this class will involve the use of raw meat!

An additional course fee of $50 will be assessed all students. The fee will cover one class session of instruction by a professional chef and taught in commercial kitchen.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2020,,['Homewood Campus'],12,CLINICAL NUTRITION,"Are you ready for 21st-century healthcare? The etiology of disease is often linked to nutrient deficiencies. We’ll cover Digestive System Anatomy, Carbohydrates, Dietary Fiber, Lipids, Protein, Water, Vitamins, Minerals, Nutrient Tracking via Cronometer software, and a simulated patient exam. We’ll also conduct in-class cooking labs each day to experiment with tasty ways to prepare vegetables, including Veggie Fritters, Cauliflower Pizza, and Zucchini Chocolate Cake.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2020,,['Homewood Campus'],13,Model Organisms in Medical Research,"This course is an analysis of modeel oragnisms such as nematodes, fruit flies, and mice. Student will be going  into details about the characteristics (eg., genders, genetic tools, life span, cost, housing,   organ systems and development) and advantages of each model organism.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2020,,['Homewood Campus'],13,Reading and Tweeting Science,"In this course, students will learn to decipher and summarize primary scientific articles.Students will uncover the structure of these complicated texts, giving students the tools to decode difficult articles--even those from unfamiliar fields of study. Because communication is a key aspect of scientific inquiry, students will learn to summarize results as well as full articles by writing 280-character tweets and longer form abstracts.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
