Semester,Academic Year,Location,Course Number (Section),Course Name,Course Description,Department,School,Credits,Status
Summer 2024,,['Homewood Campus'],21,Decoding College Writing,"This course examines three broad types of writing students will encounter at and beyond Hopkins: narrative writing, analytical writing, and technical writing. Each has its own implications within the walls of JHU, from research papers to creative projects, but each will extend to the opportunities students pursue outside of academia. Above all, this course demystifies the idea that some writers just “have it” by decoding the processes that lead to great writing and building students’ confidence in written expression to carry forward into their studies and professional pursuits.","['AS Summer and Intersession Programs', 'AS Writing Program']",Krieger School of Arts and Sciences,3.00,
Summer 2024,,['Homewood Campus'],23,Decoding College Writing: Black Midwives & American Gynecology,"In this academic writing course, students will analyze and evaluate sources about enslaved Black midwives, nurses, and Black women whose medical practices and bodies were deemed inferior and flawed yet provided foundational knowledge for white practitioners in the mid-1800s. Over the course, students will practice critical reading and writing through summarizing, analyzing, evaluating, and synthesizing ideas to increase their agency as writers and researchers. This course aims to enable students to write not simply what they know but as a means of inquiry.","['AS Summer and Intersession Programs', 'AS Writing Program']",Krieger School of Arts and Sciences,3.00,
Summer 2024,,['Homewood Campus'],01,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,
Summer 2024,,['Homewood Campus'],02,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,
Summer 2024,,['Homewood Campus'],03,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,
Summer 2024,,['Homewood Campus'],04,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,
Summer 2024,,['Homewood Campus'],05,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,
Summer 2024,,['Homewood Campus'],06,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,
Summer 2024,,['Homewood Campus'],07,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,
Summer 2024,,['Homewood Campus'],08,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,
Summer 2024,,['Homewood Campus'],09,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,
Summer 2024,,['Homewood Campus'],10,Summer Research,Summer research for doctoral students,['AS History of Art'],Krieger School of Arts and Sciences,9.00,
Summer 2024,,['Online'],41,"Population Genomics: Evolution, Extinction & Disease","Population genomics is the study of the structure, function, and variability of the entire genetic complement of organisms considered on a population scale. By examining how gene variants change in structure and frequency in populations over time, we can study the process of evolution and how it contributes to biodiversity and the formation of new species; this information can be used to increase the efficacy of conservation efforts. By studying gene variants underlying diseases at the scale of populations, we can better diagnose complex polygenic diseases like cancer. This course introduces the fundamentals of population genomics and provides an overview of the subfields of evolutionary genomics, conservation genomics, and medical genomics. This course is offered in summer terms only.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2024,,['Homewood Campus'],66,Introduction to Laboratory Research,"In this program, you will be introduced to a variety of biochemical and molecular biological laboratory techniques. These will include DNA analysis by restriction enzyme mapping, amplification of DNA segments by PCR, lipid analysis by chromatography. Additionally, you will visit a variety of biological laboratories to observe actual research projects.
Recommended Course Background in Chemistry and Biology is strongly recommended. This course is offered in summer terms only.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2024,,['Homewood Campus'],67,Introduction to Laboratory Research,"In this program, you will be introduced to a variety of biochemical and molecular biological laboratory techniques. These will include DNA analysis by restriction enzyme mapping, amplification of DNA segments by PCR, lipid analysis by chromatography. Additionally, you will visit a variety of biological laboratories to observe actual research projects.
Recommended Course Background in Chemistry and Biology is strongly recommended. This course is offered in summer terms only.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2024,,['Homewood Campus'],71,Introduction to Laboratory Research,"In this program, you will be introduced to a variety of biochemical and molecular biological laboratory techniques. These will include DNA analysis by restriction enzyme mapping, amplification of DNA segments by PCR, lipid analysis by chromatography. Additionally, you will visit a variety of biological laboratories to observe actual research projects.
Recommended Course Background in Chemistry and Biology is strongly recommended. This course is offered in summer terms only.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2024,,['Homewood Campus'],72,Introduction to Laboratory Research,"In this program, you will be introduced to a variety of biochemical and molecular biological laboratory techniques. These will include DNA analysis by restriction enzyme mapping, amplification of DNA segments by PCR, lipid analysis by chromatography. Additionally, you will visit a variety of biological laboratories to observe actual research projects.
Recommended Course Background in Chemistry and Biology is strongly recommended. This course is offered in summer terms only.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
