Semester,Academic Year,Location,Course Number (Section),Course Name,Course Description,Department,School,Credits,Status
Summer 2021,,['Homewood Campus'],05,Internship-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Summer 2021,,['Homewood Campus'],06,Internship-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,1.00,
Summer 2021,,['Homewood Campus'],01,Independent Study-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,3.00,
Summer 2021,,['Homewood Campus'],03,Independent Study-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,3.00,
Summer 2021,,['Homewood Campus'],04,Independent Study-Summer,,['AS History of Art'],Krieger School of Arts and Sciences,3.00,
Summer 2021,,['Online'],41,"Anatomy, Physiology & Disease","Course description: An understanding of physiology is an invaluable part of any budding physician, scientist, or healthcare provider’s repertoire. In this course students will discover classical anatomy and physiology of the human body. This course will cover the topics that include: nervous, muscular, cardiopulmonary, renal, digestive, & immune systems and learn how it effects health and disease. In addition to classroom study, students will be challenged to synthesize their newfound knowledge by participating in interactive activities. Students who wish to pursue biomedical and scientific studies in the future will utilize the knowledge of the basic physiological processes learned in this course and will influence student’s future exploration of the field.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2021,,['Online'],42,"Anatomy, Physiology & Disease","Course description: An understanding of physiology is an invaluable part of any budding physician, scientist, or healthcare provider’s repertoire. In this course students will discover classical anatomy and physiology of the human body. This course will cover the topics that include: nervous, muscular, cardiopulmonary, renal, digestive, & immune systems and learn how it effects health and disease. In addition to classroom study, students will be challenged to synthesize their newfound knowledge by participating in interactive activities. Students who wish to pursue biomedical and scientific studies in the future will utilize the knowledge of the basic physiological processes learned in this course and will influence student’s future exploration of the field.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2021,,['Online'],43,"Anatomy, Physiology & Disease","Course description: An understanding of physiology is an invaluable part of any budding physician, scientist, or healthcare provider’s repertoire. In this course students will discover classical anatomy and physiology of the human body. This course will cover the topics that include: nervous, muscular, cardiopulmonary, renal, digestive, & immune systems and learn how it effects health and disease. In addition to classroom study, students will be challenged to synthesize their newfound knowledge by participating in interactive activities. Students who wish to pursue biomedical and scientific studies in the future will utilize the knowledge of the basic physiological processes learned in this course and will influence student’s future exploration of the field.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2021,,['Online'],44,"Anatomy, Physiology & Disease","Course description: An understanding of physiology is an invaluable part of any budding physician, scientist, or healthcare provider’s repertoire. In this course students will discover classical anatomy and physiology of the human body. This course will cover the topics that include: nervous, muscular, cardiopulmonary, renal, digestive, & immune systems and learn how it effects health and disease. In addition to classroom study, students will be challenged to synthesize their newfound knowledge by participating in interactive activities. Students who wish to pursue biomedical and scientific studies in the future will utilize the knowledge of the basic physiological processes learned in this course and will influence student’s future exploration of the field.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2021,,['Online'],45,"Anatomy, Physiology & Disease","Course description: An understanding of physiology is an invaluable part of any budding physician, scientist, or healthcare provider’s repertoire. In this course students will discover classical anatomy and physiology of the human body. This course will cover the topics that include: nervous, muscular, cardiopulmonary, renal, digestive, & immune systems and learn how it effects health and disease. In addition to classroom study, students will be challenged to synthesize their newfound knowledge by participating in interactive activities. Students who wish to pursue biomedical and scientific studies in the future will utilize the knowledge of the basic physiological processes learned in this course and will influence student’s future exploration of the field.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2021,,['Online'],46,"Anatomy, Physiology & Disease","Course description: An understanding of physiology is an invaluable part of any budding physician, scientist, or healthcare provider’s repertoire. In this course students will discover classical anatomy and physiology of the human body. This course will cover the topics that include: nervous, muscular, cardiopulmonary, renal, digestive, & immune systems and learn how it effects health and disease. In addition to classroom study, students will be challenged to synthesize their newfound knowledge by participating in interactive activities. Students who wish to pursue biomedical and scientific studies in the future will utilize the knowledge of the basic physiological processes learned in this course and will influence student’s future exploration of the field.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2021,,['Online'],47,"Anatomy, Physiology & Disease","Course description: An understanding of physiology is an invaluable part of any budding physician, scientist, or healthcare provider’s repertoire. In this course students will discover classical anatomy and physiology of the human body. This course will cover the topics that include: nervous, muscular, cardiopulmonary, renal, digestive, & immune systems and learn how it effects health and disease. In addition to classroom study, students will be challenged to synthesize their newfound knowledge by participating in interactive activities. Students who wish to pursue biomedical and scientific studies in the future will utilize the knowledge of the basic physiological processes learned in this course and will influence student’s future exploration of the field.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Summer 2021,,['Online'],48,"Anatomy, Physiology & Disease","Course description: An understanding of physiology is an invaluable part of any budding physician, scientist, or healthcare provider’s repertoire. In this course students will discover classical anatomy and physiology of the human body. This course will cover the topics that include: nervous, muscular, cardiopulmonary, renal, digestive, & immune systems and learn how it effects health and disease. In addition to classroom study, students will be challenged to synthesize their newfound knowledge by participating in interactive activities. Students who wish to pursue biomedical and scientific studies in the future will utilize the knowledge of the basic physiological processes learned in this course and will influence student’s future exploration of the field.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
