Semester,Academic Year,Location,Course Number (Section),Course Name,Course Description,Department,School,Credits,Status
Intersession 2023,,['Homewood Campus'],22,UWP Studio,"Telling Your Story: Telling Your Story is a practical intensive on writing for opportunities such as jobs, internships, and graduate or professional degrees. These workshops will focus specifically on strong application writing skills, such as crafting a memorable narrative, writing about the technical aspects of your work for non-specialist readers, and finessing your tone. Students should come prepared to ""write toward"" real opportunities they are considering and can look forward to receiving personalized feedback on those essays.","['AS Summer and Intersession Programs', 'AS Writing Program']",Krieger School of Arts and Sciences,1.00,
Intersession 2023,,['Homewood Campus'],21,Navigating Your Medical Future Through Self-Authorship,"Innovation in the world of medicine is fueled by individuals who are inspired by their lived experiences and stimulated by their curiosities. Consciously and unconsciously, our lived experiences impact our decision-making, and through reflection and contextual frameworks, we can curate lives that connect to our values and passions. This course aims to create opportunities for students to understand self-authorship as a beneficial process for personal development. They will self-reflect in a way that encourages purpose-focused career exploration in medicine. This process will enhance their personal ability to make internally focused decisions in their professional pursuits. Students will begin to identify how their personal stories, passions, and intellectual curiosities contribute to their distinctiveness in the medical school application process and beyond. Integrated with frameworks from life-design theory, self-authorship, and career development, this course will help discourage the check-box approach to medicine and encourage utilizing personal experiences as a tool in developing a well-rounded medical school application.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2023,,['Online'],33,B'More: Nutrition and Community,"Eating is more than just grabbing a meal; it’s a fundamental part of our social fabric. At every meal we have the opportunity to build social connections, explore new tastes through culinary adventures, and support the local farming economy by eating local — all while consuming good nutrition for our optimal mental and physical performance. Eating healthy food is both a fundamental need and a fundamental right in our democracy. Students will examine concepts such as food democracy and food justice while learning how organizations in Baltimore work to alleviate the challenges that poor nutrition presents to underserved members of our community. Daily assignments will include  keeping personalized food logs to track calories, micronutrients, fiber, and protein intake using Cronometer software. Required  Materials: 1) Digital Gram Food Scale, and 2) Computer Screen Capture Software. This course is open to freshmen only.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2023,,['Homewood Campus'],12,Clinical Nutrition,"Are you ready for 21st-century healthcare? The etiology of disease is often linked to nutrient deficiencies. We'll cover Digestive System Anatomy, Carbohydrates, Dietary Fiber, Lipids, Protein, Water, Vitamins, Minerals, and Nutrient Tracking. We'll also conduct in-class cooking demonstrations to experiment with tasty ways to prepare vegetables. Daily assignments will include keeping personalized food logs to track calories, micronutrients, fiber, and protein intake using Cronometer software. Required Materials: 1.) eTextbook Basic Nutrition by Lori Smolin and Mary Grosvenor, 2.) Digital Gram Food Scale, and 3.) Computer Screen Capture Software","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2023,,['Homewood Campus'],33,B'More: Integrative Medicine,"Integrative medicine is an approach that uses the best scientific research and evidence-based practices in Holistic Therapies to enhance the outcomes of modern Western medicine, while alleviating the overwhelm and sky rocketing costs of our current medical system. Because we can implement much holistic medicine ourselves, it knows no economic, social, gender or racial bias. Students will be introduced to various holistic modalities and experience of the self-governing and self-transformation of some of Baltimore’s most underserved populations. This course is open to freshmen only.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2023,,['Homewood Campus'],22,"Becoming a Change-Maker, Creating a Socially Conscious Career in Science and Health","The world of science and health has the potential for great impact and ability to reshape policies and practices for entire communities.  As we reflect on the personal and professional impact the pandemic has had on us in the fields of science, medicine and health, students will begin to address their power and role in community action. They will identify their own personal social cause, illuminating the relationships, skills, and tactics used for social consciousness, and develop a network of collaborators.  Centered in the methods of Life Design and Emergent Strategy this course will help students develop the mindsets needed to utilize their experience in a dynamic field.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2023,,['Homewood Campus'],22,Modeling Biological Populations,"Population biologists study the dynamics of how populations behave and change, but these processes are often too complex for direct observation. Computational tools are therefore essential to the study of biological populations as they allow for study across time scales far beyond what can be observed.

Students will be introduced to computational biology, using the fundamentals of coding in the Python programming language. We will apply this code in developing simulations of biological populations, including invasive species and cancerous tumors. Students will enact and observe the effects of various parameters (e.g., mutation, environmental pressure, behavior, random chance) on their populations. We will also explore how these models can be applied in other fields, and how biology makes use of models from fields including linguistics and economics. Upon completing the course, students will be prepared to independently continue learning more advanced programming concepts. Prior programming experience is not required. Students from all departments and at all levels (including freshmen undergraduates) are welcome.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,2.00,
Intersession 2023,,['Homewood Campus'],01,Mentored Research,,['AS Biology'],Krieger School of Arts and Sciences,3.00,
Intersession 2023,,['Homewood Campus'],01,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],02,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],03,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],04,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],05,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],06,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],07,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],08,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],09,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],10,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],11,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],12,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2023,,['Homewood Campus'],14,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
