Semester,Academic Year,Location,Course Number (Section),Course Name,Course Description,Department,School,Credits,Status
Intersession 2024,,['Online'],30,Program Abroad: Renaissance Art in Florence,Intersession Abroad Program.  The course examines Renaissance art in Italy from the 13th through 16th centuries.,"['AS History of Art', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,3.00,
Intersession 2024,,['Homewood Campus'],21,Navigating Your Medical Future Through Self-Authorship,"Innovation in the world of medicine is fueled by individuals who are inspired by their lived experiences and stimulated by their curiosities. Consciously and unconsciously, our lived experiences impact our decision-making, and through reflection and contextual frameworks, we can curate lives that connect to our values and passions. This course aims to create opportunities for students to understand self-authorship as a beneficial process for personal development. They will self-reflect in a way that encourages purpose-focused career exploration in medicine. This process will enhance their personal ability to make internally focused decisions in their professional pursuits. Students will begin to identify how their personal stories, passions, and intellectual curiosities contribute to their distinctiveness in the medical school application process and beyond. Integrated with frameworks from life-design theory, self-authorship, and career development, this course will help discourage the check-box approach to medicine and encourage utilizing personal experiences as a tool in developing a well-rounded medical school application.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2024,,['Online'],21,It's Not Too Late to Secure an Internship!,"A crash course in preparing your search materials and best strategies for success when it comes to a summer internship. Students will have the opportunity to learn strategies around crafting their internship search to reflect their values, create deliverables such as their resume and cover letters, practice networking and interviewing skills, and build relationships with alum and potential employers. Students will also learn how to get the most out of their summer experience and develop best practices for their workspace.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2024,,['Online'],21,Science and community: Presenting research for diverse populations,This course will focus on understanding the needs of diverse populations and share data upon their social determinants of health. We will discuss why the importance of presenting research and strategies to approach each community. Students will be divided into groups and build up a strategy to work towards their assigned population and share if with the group by the end of the week.,"['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2024,,['Homewood Campus'],22,Clinical Nutrition,"Are you ready for 21st-century healthcare? The etiology of disease is often linked to nutrient deficiencies. We'll cover Digestive System Anatomy, Carbohydrates, Dietary Fiber, Lipids, Protein, Water, Vitamins, Minerals, and Nutrient Tracking. We'll also conduct in-class cooking demonstrations to experiment with tasty ways to prepare vegetables. Daily assignments will include keeping personalized food logs to track calories, micronutrients, fiber, and protein intake using Cronometer software. Required Materials: 1.) eTextbook Basic Nutrition by Lori Smolin and Mary Grosvenor, 2.) Digital Gram Food Scale, and 3.) Computer Screen Capture Software","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2024,,['Homewood Campus'],22,From Proteins to Living Art,"In this 2-week lab based course, we will learn and perform the basic techniques of molecular cloning to produce glowing bacteria expressing fluorescent proteins. We will use these bacteria to generate unique works of art on agar plates. This course will be excellent for beginners (science majors and non-science majors alike) to gain familiarity with basic lab techniques and connect the concepts of molecular cloning to real-world examples of genetic engineering.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,2.00,
Intersession 2024,,['Homewood Campus'],21,"Biopharma 101: How New Drugs are Discovered, Developed, and Approved","This course will focus on the discovery and clinical development of therapeutic drugs and biologics from the perspective of the biopharmaceutical industry. We will discuss the requisite laboratory research that identifies and characterizes molecules that can reach clinical testing in humans, execution of a clinical development plan that includes phase 1, 2, and 3 clinical trials, the generation of clinical evidence that forms the basis for NDA and BLA applications from which pharmaceutical sponsors receive approval from regulatory authorities such as the US FDA.  Ethical conduct in clinical research and the commercial and economic considerations that contribute to decision-making in what drugs for what diseases move forward will be emphasized.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2024,,['Homewood Campus'],13,Electron Microscopies of the Microcosme,"For the analysis of structural details of specimens ranging from subcellular organelles to viruses and even macromolecular assemblies we need to resort to high energy electron beams as the illuminating source (very short wavelengths) . This is accomplished by using various types of electron microscopes in combination with appropriate “contrasting techniques” to enhance definition of desirable specimen details.

In this course, we will first explain the physics of generating and controlling electron beams, and the principles of electron optics and image acquisition. Next we will examine the most widely used methods of specimen preparation and the steps that preserve critical architectural details despite the desiccating environment inside an electron microscope.

Lectures, twice per week and two hours each, will be followed by “hands on” laboratory practice sessions. The students will learn how to prepare their own specimens and will also be instructed in the use of optimization procedures for image capture and processing. Due to space limitations of an E. M room the laboratory part of this course requires the formation of small-size teams, to be determined after the lecture part is completed and according to student time availability. Class size limit:10

Class is open to all undergraduates; priority will be given to Sophomores with good Physics background. Interested students should contact the instructor PRIOR to attempt registration.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,2.00,
Intersession 2024,,['Homewood Campus'],13,Modeling Biological Populations,"Population biologists study the dynamics of how populations behave and change, but these processes are often too complex for direct observation. Computational tools are therefore essential to the study of biological populations as they allow for study across time scales far beyond what can be observed.

Students will be introduced to computational biology, using the fundamentals of coding in the Python programming language. We will apply this code in developing simulations of biological populations, including invasive species and cancerous tumors. Students will enact and observe the effects of various parameters (e.g., mutation, environmental pressure, behavior, random chance) on their populations. We will also explore how these models can be applied in other fields, and how biology makes use of models from fields including linguistics and economics. Upon completing the course, students will be prepared to independently continue learning more advanced programming concepts. Prior programming experience is not required. Students from all departments and at all levels (including freshmen undergraduates) are welcome.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,2.00,
Intersession 2024,,['Homewood Campus'],22,Microbe Hunting - Environmental Microbiology,"Microbes live everywhere around us – from the soil, to the human gut, to underwater hydrothermal vents. How do they survive such different environments? Through classroom, lab, and field work, students will learn fundamental principles in microbial cell biology, ecology, and evolution and appreciate the microbial diversity by isolating and characterizing microbes from the Hopkins campus. Students from all majors and all levels (including freshmen undergraduates) are welcome.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2024,,['Homewood Campus'],01,Mentored Research,,['AS Biology'],Krieger School of Arts and Sciences,3.00,
Intersession 2024,,['Homewood Campus'],02,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],03,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],04,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],05,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],08,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],09,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],10,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],11,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],14,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],15,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],19,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],22,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],23,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
Intersession 2024,,['Homewood Campus'],24,Research - Intersession,"Planning and conducting original laboratory investigations on biological problems, collection and analysis of data, reporting of results. Juniors and Seniors Only. Recommended Course Background: Permission of full-time faculty member in Biology dept.",['AS Biology'],Krieger School of Arts and Sciences,1.00 - 3.00,
