Semester,Academic Year,Location,Course Number (Section),Course Name,Course Description,Department,School,Credits,Status
Intersession 2025,,['Homewood Campus'],30,Program Abroad: Renaissance Art in Florence,Intersession Abroad Program.  The course examines Renaissance art in Italy from the 13th through 16th centuries.,"['AS History of Art', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,3.00,
Intersession 2025,,['Homewood Campus'],11,Navigating Your Medical Future Through Self-Authorship,"Innovation in the world of medicine is fueled by individuals who are inspired by their lived experiences and stimulated by their curiosities. Consciously and unconsciously, our lived experiences impact our decision-making, and through reflection and contextual frameworks, we can curate lives that connect to our values and passions. This course aims to create opportunities for students to understand self-authorship as a beneficial process for personal development. They will self-reflect in a way that encourages purpose-focused career exploration in medicine. This process will enhance their personal ability to make internally focused decisions in their professional pursuits. Students will begin to identify how their personal stories, passions, and intellectual curiosities contribute to their distinctiveness in the medical school application process and beyond. Integrated with frameworks from life-design theory, self-authorship, and career development, this course will help discourage the check-box approach to medicine and encourage utilizing personal experiences as a tool in developing a well-rounded medical school application.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2025,,['Homewood Campus'],12,Clinical Nutrition,"Are you ready for 21st-century healthcare? The etiology of disease is often linked to nutrient deficiencies. We'll cover Digestive System Anatomy, Carbohydrates, Dietary Fiber, Lipids, Protein, Water, Vitamins, Minerals, and Nutrient Tracking. We'll also conduct in-class cooking demonstrations to experiment with tasty ways to prepare vegetables. Daily assignments will include keeping personalized food logs to track calories, micronutrients, fiber, and protein intake using Cronometer software. Required Materials: 1.) eTextbook Basic Nutrition by Lori Smolin and Mary Grosvenor, 2.) Digital Gram Food Scale, and 3.) Computer Screen Capture Software","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2025,,['Online'],12,Healthcare Intersession Course,"This course will use the process and mindsets of Life Design to help students explore careers and build a network in the fields of biology, healthcare, and molecular sciences, specifically in tue United States. Through life design classwork, guest lectures from alumni and industry experts, alumni networking opportunities, and experiential learning (site visits and networking sessions), students will work to understand their own career and professional interests and motivations, prototype possible career paths, and find their fit within the broader Philadelphia area. The impact of this experiential course will expose students to a company’s culture, day-to-day work life, and unique career paths.
Objectives:
•	Synthesize their experiences, values, skills, and identities into a guiding work view statement.  
•	Apply employer background research to create authentic introductions and prepare insightful questions for site visits.   
•	Design possible lives to ideate unique career paths within the industry.  
•	Practice skills necessary for success within an industry. 
•	Create an effective online presence aligning with industry values and objectives including crafting clear relational accomplishment statements, developing a professional profile, and expanding their network","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,2.00,
Intersession 2025,,['Homewood Campus'],12,The Consequences of Discrimination and Bias in Science,"In this seminar course we will discuss the historical context of bias and exclusion in science, read from and discuss the primary literature to understand the science of bias and why it is present and how it has continued to persist across the Science, Technology, Engineering, and Mathematics (STEM) fields, and identify actionable items to address and overcome these issues.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2025,,['Homewood Campus'],12,The Microscopic Secret Society Of Bacteria That Rule The World,"Learn about the Earth’s earliest and most successful branch of life, bacteria! In this 2-week course we will learn about how dependent all life on Earth is on these tiny friends and foes. You will discover microenvironments and evolution. Learn important concepts in microbial ecology that apply to systems as large as planet earth down to the symbiotic bacteria in the human gut (yes bacteria control the air you breathe and your poop!). You will also learn about academic bacteriology research opportunities happening at Hopkins and the greater Maryland area.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,2.00,
Intersession 2025,,['Homewood Campus'],11,"Biopharma 101: How New Drugs are Discovered, Developed, and Approved","This course will focus on the discovery and clinical development of therapeutic drugs and biologics from the perspective of the biopharmaceutical industry. We will discuss the requisite laboratory research that identifies and characterizes molecules that can reach clinical testing in humans, execution of a clinical development plan that includes phase 1, 2, and 3 clinical trials, the generation of clinical evidence that forms the basis for NDA and BLA applications from which pharmaceutical sponsors receive approval from regulatory authorities such as the US FDA.  Ethical conduct in clinical research and the commercial and economic considerations that contribute to decision-making in what drugs for what diseases move forward will be emphasized.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2025,,['Homewood Campus'],12,Scientific Writing for Proposals and Awards,"Are you interested in receiving funding for the research you do? Hopkins and other institutions offer monetary awards to students with exceptional research proposals. This course is designed to help you prepare a research proposal for awards such as the Provost’s Undergraduate Research Award. This writing-intensive course will expose you to the process of peer review and how to better critique your own writing as well as the works of others. Further, you will be better prepared to apply for research funding if you pursue a graduate education.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,1.00,
Intersession 2025,,['Homewood Campus'],12,Microbe Hunting - Environmental Microbiology,"Microbes live everywhere around us – in the soil, in our guts, in salt and heat and aridity. How different are the microbes from such diverse environments? How similar are they? By designing and completing their own lab projects, students will become familiar with fundamental principles in microbiology and gain an appreciation for the ecological diversity of microbes around the Johns Hopkins campus. Additionally, students will be encouraged to contextualize their laboratory findings in terms of broader themes in cell biology and evolutionary biology. This intersession course welcomes students from all years and majors.","['AS Biology', 'AS Summer and Intersession Programs']",Krieger School of Arts and Sciences,2.00,
Intersession 2025,,['Homewood Campus'],01,Mentored Research,,['AS Biology'],Krieger School of Arts and Sciences,3.00,
